Zipcode,MDFreq,DOFreq,major_city,population,population_density,median_home_value,median_household_income
85540,2,1,Morenci,2874,29,NA,60402
85935,2,1,Pinetop,4735,98,258800,60475
85304,37,5,Glendale,25883,4648,141600,61078
86321,0,0,Bagdad,2219,8,26300,61667
85207,14,5,Mesa,44744,1499,180800,62059
85224,249,66,Chandler,42796,4571,171200,62263
85118,2,1,Gold Canyon,12246,77,235700,62965
85629,5,2,Sahuarita,23568,102,174100,63343
85339,10,2,Laveen,35586,167,162900,64054
85392,40,15,Avondale,35310,3653,143400,64383
85382,34,13,Peoria,40454,4115,192800,64428
85024,10,1,Phoenix,22898,813,189100,64776
85381,114,30,Peoria,24249,3655,191000,64862
85305,9,4,Glendale,10822,1701,150800,64926
85138,6,1,Maricopa,33633,454,133100,66333
85044,18,4,Phoenix,37993,2630,214100,66416
85742,6,0,Tucson,25212,878,183200,66887
85338,56,13,Goodyear,41115,557,153300,67132
85388,0,0,Surprise,23490,1791,166400,67461
85054,528,38,Phoenix,5384,598,326400,67488
85248,38,10,Chandler,29821,986,266400,68291
85637,0,0,Sonoita,1268,11,326200,68667
85308,107,67,Glendale,63876,3682,198900,68796
85343,0,0,Palo Verde,196,24,236800,68839
85743,11,4,Tucson,29144,302,197300,69577
85748,11,1,Tucson,18087,1529,221700,69871
85379,2,1,Surprise,39732,3693,157000,70302
85377,11,0,Carefree,3051,361,672300,70625
85396,9,2,Buckeye,12163,147,207000,70700
85258,302,51,Scottsdale,23342,2723,432700,72089
85142,19,12,Queen Creek,48870,689,189200,73367
85268,15,4,Fountain Hills,22684,1100,332400,73608
85922,0,0,Blue,41,0,160400,73750
85718,119,13,Tucson,27367,718,449800,73900
85226,24,4,Chandler,37376,466,228500,74005
85750,24,5,Tucson,24161,1214,367000,74060
85087,3,0,New River,7708,103,270100,74805
85395,90,25,Goodyear,25922,1809,259300,75271
85233,14,5,Gilbert,37564,3859,217400,75365
85355,0,0,Waddell,8745,249,258600,75625
85755,60,5,Tucson,15107,449,298300,75648
85340,16,6,Litchfield Park,26262,868,233100,76437
85260,183,43,Scottsdale,36056,2482,360000,76522
85234,185,43,Gilbert,50014,4201,223100,76632
85086,18,12,Phoenix,40495,694,252200,76856
85212,15,6,Mesa,24492,691,191400,77704
85050,54,11,Phoenix,25736,1765,237300,78087
85650,4,0,Sierra Vista,15279,366,229300,79790
85658,8,0,Marana,7790,35,269300,79873
85747,11,6,Tucson,23058,392,189000,81474
85296,32,21,Gilbert,36799,3250,220200,81710
85641,0,0,Vail,21753,47,229600,81917
85737,24,5,Tucson,20727,859,286100,82754
85085,22,8,Phoenix,17517,684,291000,83377
85297,98,25,Gilbert,26979,2557,228600,84097
85749,9,3,Tucson,19032,317,366200,84151
85286,50,7,Chandler,38930,2398,269600,84616
85028,57,9,Phoenix,19157,1911,284800,85058
85298,6,5,Gilbert,21479,1502,289600,86426
85310,3,3,Glendale,19007,2085,215700,86660
85295,51,24,Gilbert,38332,3033,212100,87508
85331,16,1,Cave Creek,26960,240,368500,88938
85254,87,28,Scottsdale,45801,3360,354200,90718
85048,58,18,Phoenix,33449,1693,303600,93878
85259,439,18,Scottsdale,21422,1045,552700,95515
85249,7,2,Chandler,36908,2673,300100,96558
85266,15,7,Scottsdale,11406,666,605600,100338
85263,2,1,Rio Verde,2111,6,398900,101375
85383,13,11,Peoria,37182,391,299900,101526
85083,1,0,Phoenix,18104,1838,281000,105101
85253,65,12,Paradise Valley,17047,948,1000001,109185
85255,137,33,Scottsdale,37270,426,586800,111042
85045,3,0,Phoenix,7238,1998,349800,115756
85284,25,5,Tempe,16479,2124,339000,117052
85262,10,0,Scottsdale,11275,89,619600,125884
85309,0,0,Glendale Luke Afb,1485,435,NA,NA
85341,0,0,Lukeville,39,28,NA,NA
85535,0,0,Eden,21,5,NA,NA
85608,0,0,Douglas,2305,1244,NA,NA
85619,0,0,Mount Lemmon,50,0,NA,NA
85723,0,0,Tucson,0,NA,NA,NA
85724,0,0,Tucson,0,NA,NA,NA
85726,0,0,Tucson,0,NA,NA,NA
85912,0,0,White Mountain Lake,178,4,NA,NA
85942,0,0,Woodruff,80,1,NA,NA
86003,0,0,Flagstaff,23,1,NA,NA
86015,0,0,Bellemont,385,71,NA,NA
86028,0,0,Petrified Forest Natl Pk,47,0,NA,NA
86038,0,0,Mormon Lake,77,2,NA,NA
86313,0,0,Prescott,257,2266,NA,NA
86443,0,0,Temple Bar Marina,76,0,NA,NA
